RegisterName,Register,MCU
PORTD,Register,AT90PWM1
DDRD,Register,AT90PWM1
PIND,Register,AT90PWM1
PORTE,Register,AT90PWM1
DDRE,Register,AT90PWM1
PINE,Register,AT90PWM1
SPMCSR,Register,AT90PWM1
PICR0,Register,AT90PWM1
PFRC0B,Register,AT90PWM1
PFRC0A,Register,AT90PWM1
PCTL0,Register,AT90PWM1
PCNF0,Register,AT90PWM1
OCR0RB,Register,AT90PWM1
OCR0SB,Register,AT90PWM1
OCR0RA,Register,AT90PWM1
OCR0SA,Register,AT90PWM1
PSOC0,Register,AT90PWM1
PIM0,Register,AT90PWM1
PIFR0,Register,AT90PWM1
PICR2,Register,AT90PWM1
PFRC2B,Register,AT90PWM1
PFRC2A,Register,AT90PWM1
PCTL2,Register,AT90PWM1
PCNF2,Register,AT90PWM1
OCR2RB,Register,AT90PWM1
OCR2SB,Register,AT90PWM1
OCR2RA,Register,AT90PWM1
OCR2SA,Register,AT90PWM1
POM2,Register,AT90PWM1
PSOC2,Register,AT90PWM1
PIM2,Register,AT90PWM1
PIFR2,Register,AT90PWM1
PICR1,Register,AT90PWM1
PFRC1B,Register,AT90PWM1
PFRC1A,Register,AT90PWM1
PCTL1,Register,AT90PWM1
PSOC1,Register,AT90PWM1
SREG,Register,AT90PWM1
SP,Register,AT90PWM1
MCUCR,Register,AT90PWM1
MCUSR,Register,AT90PWM1
OSCCAL,Register,AT90PWM1
SMCR,Register,AT90PWM1
GPIOR3,Register,AT90PWM1
GPIOR2,Register,AT90PWM1
GPIOR1,Register,AT90PWM1
GPIOR0,Register,AT90PWM1
PLLCSR,Register,AT90PWM1
PRR,Register,AT90PWM1
TIMSK0,Register,AT90PWM1
TIFR0,Register,AT90PWM1
TCCR0A,Register,AT90PWM1
TCCR0B,Register,AT90PWM1
TCNT0,Register,AT90PWM1
OCR0A,Register,AT90PWM1
OCR0B,Register,AT90PWM1
GTCCR,Register,AT90PWM1
TIMSK1,Register,AT90PWM1
TIFR1,Register,AT90PWM1
TCCR1A,Register,AT90PWM1
TCCR1B,Register,AT90PWM1
TCCR1C,Register,AT90PWM1
TCNT1,Register,AT90PWM1
OCR1A,Register,AT90PWM1
OCR1B,Register,AT90PWM1
ICR1,Register,AT90PWM1
GTCCR,Register,AT90PWM1
ADMUX,Register,AT90PWM1
ADCSRA,Register,AT90PWM1
ADC,Register,AT90PWM1
ADCSRB,Register,AT90PWM1
DIDR0,Register,AT90PWM1
DIDR1,Register,AT90PWM1
SPCR,Register,AT90PWM1
SPSR,Register,AT90PWM1
SPDR,Register,AT90PWM1
WDTCSR,Register,AT90PWM1
EICRA,Register,AT90PWM1
EIMSK,Register,AT90PWM1
EIFR,Register,AT90PWM1
EEAR,Register,AT90PWM1
EEDR,Register,AT90PWM1
EECR,Register,AT90PWM1
AC0CON,Register,AT90PWM1
AC2CON,Register,AT90PWM1
ACSR,Register,AT90PWM1
PORTB,Register,AT90PWM161
DDRB,Register,AT90PWM161
PINB,Register,AT90PWM161
PORTD,Register,AT90PWM161
DDRD,Register,AT90PWM161
PIND,Register,AT90PWM161
PORTE,Register,AT90PWM161
DDRE,Register,AT90PWM161
PINE,Register,AT90PWM161
DACH,Register,AT90PWM161
DACL,Register,AT90PWM161
DACON,Register,AT90PWM161
SPCR,Register,AT90PWM161
SPSR,Register,AT90PWM161
SPDR,Register,AT90PWM161
WDTCSR,Register,AT90PWM161
EICRA,Register,AT90PWM161
EIMSK,Register,AT90PWM161
EIFR,Register,AT90PWM161
ADMUX,Register,AT90PWM161
ADCSRA,Register,AT90PWM161
ADC,Register,AT90PWM161
ADCSRB,Register,AT90PWM161
DIDR0,Register,AT90PWM161
DIDR1,Register,AT90PWM161
AC3CON,Register,AT90PWM161
AC1CON,Register,AT90PWM161
AC2CON,Register,AT90PWM161
ACSR,Register,AT90PWM161
SREG,Register,AT90PWM161
SP,Register,AT90PWM161
MCUCR,Register,AT90PWM161
MCUSR,Register,AT90PWM161
OSCCAL,Register,AT90PWM161
SMCR,Register,AT90PWM161
GPIOR2,Register,AT90PWM161
GPIOR1,Register,AT90PWM161
GPIOR0,Register,AT90PWM161
PLLCSR,Register,AT90PWM161
PRR,Register,AT90PWM161
BGCCR,Register,AT90PWM161
BGCRR,Register,AT90PWM161
EEAR,Register,AT90PWM161
EEDR,Register,AT90PWM161
EECR,Register,AT90PWM161
PICR0,Register,AT90PWM161
PFRC0B,Register,AT90PWM161
PFRC0A,Register,AT90PWM161
PCTL0,Register,AT90PWM161
PCNF0,Register,AT90PWM161
OCR0RB,Register,AT90PWM161
OCR0SB,Register,AT90PWM161
OCR0RA,Register,AT90PWM161
OCR0SA,Register,AT90PWM161
PSOC0,Register,AT90PWM161
PIM0,Register,AT90PWM161
PIFR0,Register,AT90PWM161
PICR2H,Register,AT90PWM161
PICR2L,Register,AT90PWM161
PFRC2B,Register,AT90PWM161
PFRC2A,Register,AT90PWM161
PCTL2,Register,AT90PWM161
PCNF2,Register,AT90PWM161
PCNFE2,Register,AT90PWM161
OCR2RB,Register,AT90PWM161
OCR2SB,Register,AT90PWM161
OCR2RA,Register,AT90PWM161
OCR2SA,Register,AT90PWM161
POM2,Register,AT90PWM161
PSOC2,Register,AT90PWM161
PIM2,Register,AT90PWM161
PIFR2,Register,AT90PWM161
PASDLY2,Register,AT90PWM161
TIMSK1,Register,AT90PWM161
TIFR1,Register,AT90PWM161
TCCR1B,Register,AT90PWM161
TCNT1,Register,AT90PWM161
ICR1,Register,AT90PWM161
SPMCSR,Register,AT90PWM161
PORTB,Register,AT90PWM216
DDRB,Register,AT90PWM216
PINB,Register,AT90PWM216
PORTD,Register,AT90PWM216
DDRD,Register,AT90PWM216
PIND,Register,AT90PWM216
PORTE,Register,AT90PWM216
DDRE,Register,AT90PWM216
PINE,Register,AT90PWM216
SPMCSR,Register,AT90PWM216
EUDR,Register,AT90PWM216
EUCSRA,Register,AT90PWM216
EUCSRB,Register,AT90PWM216
EUCSRC,Register,AT90PWM216
MUBRRH,Register,AT90PWM216
MUBRRL,Register,AT90PWM216
AC0CON,Register,AT90PWM216
AC1CON,Register,AT90PWM216
AC2CON,Register,AT90PWM216
ACSR,Register,AT90PWM216
DAC,Register,AT90PWM216
DACON,Register,AT90PWM216
SREG,Register,AT90PWM216
SP,Register,AT90PWM216
MCUCR,Register,AT90PWM216
MCUSR,Register,AT90PWM216
OSCCAL,Register,AT90PWM216
SMCR,Register,AT90PWM216
GPIOR3,Register,AT90PWM216
GPIOR2,Register,AT90PWM216
GPIOR1,Register,AT90PWM216
GPIOR0,Register,AT90PWM216
PLLCSR,Register,AT90PWM216
PRR,Register,AT90PWM216
TIMSK0,Register,AT90PWM216
TIFR0,Register,AT90PWM216
TCCR0A,Register,AT90PWM216
TCCR0B,Register,AT90PWM216
TCNT0,Register,AT90PWM216
OCR0A,Register,AT90PWM216
OCR0B,Register,AT90PWM216
GTCCR,Register,AT90PWM216
TIMSK1,Register,AT90PWM216
TIFR1,Register,AT90PWM216
TCCR1A,Register,AT90PWM216
TCCR1B,Register,AT90PWM216
TCCR1C,Register,AT90PWM216
TCNT1,Register,AT90PWM216
OCR1A,Register,AT90PWM216
OCR1B,Register,AT90PWM216
ICR1,Register,AT90PWM216
GTCCR,Register,AT90PWM216
ADMUX,Register,AT90PWM216
ADCSRA,Register,AT90PWM216
ADC,Register,AT90PWM216
ADCSRB,Register,AT90PWM216
DIDR0,Register,AT90PWM216
DIDR1,Register,AT90PWM216
UDR,Register,AT90PWM216
UCSRA,Register,AT90PWM216
